0,1,2,3,4,5
4.114741,3.667301,3.4057724,3.2584705,3.3269756,3.4992793
2.6211505,2.5473773,3.0616882,2.7047422,2.4502628,2.2589736
2.8625433,3.5889783,3.2153232,3.4038913,3.2803328,3.3711002
2.7249494,3.8378112,3.922009,4.830134,4.219229,3.9227164
2.8625433,3.5889783,2.980393,3.2913902,3.0425549,3.089702
2.8625433,2.9796312,3.384218,3.1335924,2.9225466,3.001904
2.8625433,3.2940824,3.2992887,3.27484,3.4796784,3.3376467
2.7231207,2.6611586,2.6301258,2.3594348,2.251884,2.164032
2.8625433,2.6646397,2.6976693,2.9276116,2.9027987,2.7115057
2.7231207,2.9067957,3.054528,3.1052217,4.3134804,4.151407
2.7249494,2.940966,2.5885956,2.3544223,3.2087467,2.8079503
3.7946148,3.7267375,3.609865,3.5868738,3.7980525,4.0012145
2.7231207,2.6611586,2.891741,2.7281578,2.478391,2.3219128
2.8625433,2.6646397,2.4459014,2.260571,2.44019,2.2774804
2.7249494,4.0876927,3.1918194,2.8862681,3.161374,2.9616635
2.7249494,2.940966,2.8416646,2.5203314,2.385581,2.2902408
3.0351846,2.7158005,2.4770205,2.5466409,2.4299557,2.3213267
2.6211505,2.7286742,2.508445,2.382392,2.3397322,2.253527
3.3750231,4.751056,3.9070392,3.6757247,3.6255224,3.6873345
2.7231207,3.8012626,3.2184126,3.4321258,3.419059,3.5534625
3.0351846,2.4033425,2.2811732,2.0719497,2.3346527,2.1884725
2.7249494,2.4618256,2.3861883,2.2402604,2.2499087,2.1776934
3.20971,2.479115,2.3311183,2.1000285,2.0836842,2.0279837
2.7231207,2.9067957,2.7737424,2.4482405,2.528508,2.3375287
2.6211505,2.7286742,2.508445,2.4680526,2.3293922,2.3274772
2.6211505,2.7286742,2.624048,2.578946,3.1187391,3.5688024
2.7249494,2.4618256,2.5139518,2.9931314,2.8846848,2.83695
4.2877154,4.3541765,4.4703197,4.517838,4.3655753,4.219081
3.20971,3.0934315,2.9890754,2.9526584,3.2010787,3.289643
2.6211505,2.5473773,2.5070007,2.369391,2.3186867,2.50055
2.7231207,2.502035,2.5354388,2.7108552,2.427601,2.2429721
3.0351846,4.3100343,4.210026,3.9132347,3.900007,3.747578
2.6211505,2.7286742,2.508445,2.4680526,2.3293922,2.5422215
2.7231207,2.502035,2.4893744,2.3828402,2.3163726,2.2171786
5.8512397,6.0979695,5.914411,5.745755,5.6430864,5.6402144
2.7231207,3.5237517,3.07496,2.6907315,2.7819488,2.6322062
2.6211505,2.5473773,2.5070007,2.369391,2.3186867,2.2318506
2.6211505,2.9125936,3.6952724,3.6844084,4.268432,3.8945487
2.6211505,2.7286742,3.2412407,4.1642823,3.9427023,3.9782608
2.7231207,2.6611586,2.484238,2.4208891,2.302271,2.35417
2.7231207,2.6611586,2.6301258,2.3594348,2.251884,2.164032
2.7249494,2.6560624,2.4653316,2.4537349,2.2955089,2.197736
2.7231207,2.502035,2.4893744,2.3379514,2.320566,2.2682815
2.6211505,2.5473773,2.5070007,2.4621375,2.35755,2.2849953
2.7231207,2.9067957,3.054528,3.5503573,3.7570693,3.5879748
2.8625433,2.9796312,3.1405907,4.014839,3.7939866,3.5515935
4.20463,4.349093,4.2487044,4.4216533,4.2228556,4.1047797
3.0351846,2.7158005,2.4770205,2.2920785,2.2343569,2.1334715
2.6211505,2.7286742,2.9032135,2.4467924,2.5103204,2.2576385
2.6211505,2.7286742,2.508445,2.382392,2.3397322,2.253527
2.7231207,3.2169392,2.9233687,2.5631769,2.886955,3.0539525
2.7249494,4.0876927,5.703818,5.6922555,5.656571,5.73086
2.7249494,2.4618256,2.3861883,2.3510048,2.740915,2.41743
2.6211505,2.5473773,2.5070007,2.369391,2.3186867,2.2318506
3.0351846,2.4033425,2.2811732,2.0719497,2.0643744,1.9940751
2.7231207,2.502035,2.4893744,3.1259997,2.5654154,2.4282582
2.6211505,2.5473773,2.7493212,2.360583,2.2973406,2.1845467
3.3750231,3.4147894,3.209576,3.1368716,3.3271477,3.5157754
3.3750231,4.078612,4.7852006,4.4249625,4.169564,4.249053
3.3750231,2.8784332,3.4692237,3.1347303,3.0319283,2.9541128
2.7231207,2.6611586,2.484238,2.3022177,2.2702386,2.1928685
3.20971,3.6337168,4.8641906,5.5483184,5.6751466,5.481898
2.7231207,2.502035,2.7455416,2.8573387,2.5566893,2.575019
2.6211505,2.5473773,2.7493212,2.6072805,2.3734994,2.674896
2.6211505,2.7286742,2.624048,2.578946,2.56758,2.793827
2.7231207,3.5237517,3.5952065,3.2148168,3.1440258,3.0028832
2.7231207,3.2169392,2.9233687,2.8123267,3.0349624,2.795875
2.6211505,2.9125936,2.7384424,2.665188,2.3969228,2.2190888
2.8625433,2.6646397,2.4459014,2.5044854,2.60478,2.4261875
2.6211505,2.7286742,2.508445,2.382392,2.3397322,2.253527
2.6211505,2.9125936,3.0554116,3.4050086,3.1687338,2.8676012
2.6211505,3.5398643,2.9545689,2.8457046,2.8519006,3.5659273
3.20971,2.479115,2.3311183,2.1000285,2.0836842,2.0279837
2.8625433,2.6646397,2.4459014,2.260571,2.44019,2.2774804
2.7231207,2.502035,2.4893744,2.3379514,2.3738182,2.2761693
3.0351846,2.4033425,2.5329473,2.304499,2.2349107,2.1256912
2.7231207,2.502035,2.4893744,2.3828402,2.3163726,2.3069856
2.7249494,2.4618256,2.5139518,2.2881184,2.2321053,2.1440752
2.7231207,2.6611586,3.1890118,2.6353889,2.4497433,2.3129332
2.7231207,2.502035,2.5354388,2.4570322,2.329613,2.3546772
2.8625433,2.6646397,2.6976693,3.3598528,3.1619093,3.0854335
2.8625433,2.6646397,2.9636555,2.868127,2.8851202,2.7162411
3.5276864,2.964849,2.951475,2.9070017,2.8410797,2.7749221
2.6211505,2.7286742,2.508445,2.382392,2.3397322,2.253527
2.6211505,2.5473773,2.5070007,2.369391,2.4331996,2.2997859
3.667292,4.232161,4.475883,4.5841556,4.529934,4.4499497
2.7249494,2.940966,3.1106763,2.6939971,2.7651193,2.8103058
2.6211505,2.5473773,2.5070007,2.369391,2.4331996,2.2997859
3.20971,2.79261,2.5503824,2.8177783,2.90294,2.7465162
2.8625433,2.6646397,2.4459014,2.260571,2.1939332,2.1275983
5.191792,4.7732134,4.9857,5.016298,5.073179,5.1284423
2.7231207,2.6611586,2.891741,4.064922,5.335027,5.3169417
2.7249494,2.4618256,2.3861883,2.3510048,2.2700603,2.1669965
2.7249494,2.4618256,3.0414436,2.8066947,3.4490135,3.3649116
2.7231207,2.502035,2.7455416,2.5815842,2.3961022,2.2144802
2.7249494,2.4618256,2.3861883,2.2402604,2.2499087,2.266847
2.6211505,2.5473773,2.5070007,2.369391,2.3186867,2.2318506
3.5276864,3.2190435,2.9258258,2.7392411,2.7281635,2.6524165
2.8625433,3.2940824,3.524889,3.2242491,3.175224,3.0465834
3.0351846,3.0327895,3.6022742,3.613025,3.646617,3.4803436
2.6211505,2.9125936,3.9739034,3.9971948,4.3431315,3.9825852
2.6211505,2.7286742,2.508445,2.382392,2.3397322,2.253527
2.6211505,2.7286742,2.624048,2.862676,2.4733589,2.755285
3.20971,2.79261,2.5503824,2.356191,2.3176181,2.2077734
2.6211505,2.5473773,2.5070007,2.369391,2.4331996,2.2997859
2.6211505,2.7286742,2.624048,2.383176,2.2808123,2.2068357
